year,gdp_growth,inflation
1970,9.723472587086277,3.030303030532654
1971,5.216124557060596,9.558823537467722
1972,-2.4876554021492865,10.06711409395949
1973,2.8845841948016044,17.68292682317107
1974,6.8525168322058505,18.13471502684633
1975,-12.431629021459727,29.82456140481681
1976,-3.530182806275363,56.08108108297558
1977,2.274107241699568,116.4502164536386
1978,8.475935602321712,73.09166666734303
1979,-2.514941419593015,54.44128833456161
1980,0.47169594317210795,50.07013934363644
1981,-3.503066946967053,116.5036039965411
1982,-6.92365041055389,22.29556640808933
1983,-4.563737504589454,122.8745145725921
1984,8.64756945671597,39.66531379472676
1985,5.091617272011376,10.30544066982954
1986,5.199160679748772,24.56541607650007
1987,4.7948988794078105,39.81506787753632
1988,5.628168763594573,31.35926762647684
1989,5.085872700138424,25.22369202958248
1990,3.32881788321653,37.25906648556708
1991,5.281826398344293,18.03143900898491
1992,3.879419080375172,10.05611674488413
1993,4.850000553794118,24.95984247424968
1994,3.299999739477471,24.87025543695763
1995,4.112418971628614,59.46155369914462
1996,4.602461155646267,46.56101967622823
1997,4.196357440195712,27.88520864075274
1998,4.700390784279108,14.62416666666746
1999,4.399996825452959,4.865397850775285
2000,3.7000000816440775,40.24093312391401
2001,4.0000001280791935,41.50949628780302
2002,4.499999559003314,9.360932395603127
2003,5.200000133101,29.77297971603836
2004,5.5999999907744495,18.04273882325649
2005,5.900003818551042,15.43899201559083
2006,6.399912606180337,11.67918393924918
2007,4.346819104400794,10.7342665456292
2008,9.14979893831817,16.49463961341201
2009,4.844487051750761,19.24694822208571
2010,7.899711940516212,10.73338983549149
2011,14.047123580314903,8.7284593709302
2012,9.2927894063005,11.18634094410672
2013,7.31252501678145,11.66619230717286
2014,2.8562401633088257,15.48961603333184
2015,2.120759338173343,17.14996950078776
2016,3.3734657496693643,17.45463470708676
2017,8.128894881009558,12.37192155070485
2018,6.200077681272845,7.80876516610703
2019,6.507774793915203,7.143640033308569
2020,0.5139416706281708,9.887289562699442
2021,5.076466435335419,9.971088675044395
2022,3.8048498095216416,31.25589510490163
2023,3.140090997637543,38.10696562965015
2024,5.590454695932664,22.84832811578422
